"","unique(d01$V1)"
"1",3561
"2",3562
"3",3563
"4",3593
"5",3950
"6",3951
"7",3952
"8",3965
"9",1010
"10",1020
"11",3020
"12",3030
"13",3111
"14",3112
"15",3140
"16",3337
"17",3341
"18",3365
"19",3380
"20",3431
"21",3433
"22",3438
"23",3450
"24",3471
"25",3472
"26",3473
"27",3474
"28",3560
"29",3334
"30",3382
"31",3422
"32",3564
"33",3435
"34",3437
"35",3877
"36",4999
"37",3443
"38",5050
"39",5110
"40",5120
"41",3200
"42",3436
"43",5115
"44",3565
"45",5965
"46",4877
"47",5720
"48",1015
"49",3385
"50",3393
"51",3638
"52",3650
"53",3673
"54",3671
"55",3040
"56",3567
"57",3741
"58",3769
"59",3439
"60",3446
"61",3042
"62",3381
"63",3440
"64",3480
"65",3485
"66",3568
"67",3569
"68",4693
"69",3041
"70",3051
"71",3566
"72",3653
"73",3960
"74",4439
"75",3061
"76",3310
"77",3610
"78",4085
"79",5440
"80",3570
"81",4438
"82",3383
"83",4674
"84",3486
"85",3510
"86",4998
